zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta06g03820	3704937.10341469	4709710.3849334	4144269.85380496	3578590.62370261	4022043.33597607	3756999.62875663	3247672.95623988	2980450.89734736	3308323.66108852	5015662.66317445	4763978.96571836	3559146.15249143	4543489.41729978	3448700.86672104	3733587.71623086	3980993.71262135	4151244.06424685	4123542.85081536
ostta11g01210	1008318.4466478	1134986.33183519	601188.201806052	751151.53756125	878006.71890882	650357.760959643	649816.682055746	760502.98102005	491819.01940735	1388169.26398409	1870536.18012595	246867.153105825	644111.973461631	677875.704907479	533840.141800725	709265.437795327	782623.59488083	600571.515496346
ostta07g00120	2746816.47299526	2094103.06556348	1966194.45596834	3309049.61746703	3043373.70994411	2353901.26290551	2490571.540974	2639025.77353837	2825024.29552142	1575148.56020548	1638609.94425501	1958642.06260712	1874835.32348648	2367798.79941498	2072454.12146514	2460149.63455367	2575600.54108508	1962425.98813544
ostta01g04920	3193619.92700406	2320189.75689614	4598988.75927624	3641362.66534697	4041755.46175754	6095995.33426821	4394485.46656376	3548062.18683218	5921612.05445746	3560801.50301125	3796605.89104317	5814901.05774084	3802078.68521687	2895799.91048492	5177298.88724341	3827527.78525841	3315127.8092483	4592718.62812899
ostta11g03020	14914692.8249995	12695142.2133091	16750675.2251236	13575157.687101	15948505.7336407	15042212.5774692	10804591.3907865	13198216.2851049	13371776.5138141	6786634.34462729	11240288.5866873	14038557.6889929	14260725.9446004	14107448.7160519	14575856.7500495	16109223.8951353	18142469.9515482	16754000.4309272
ostta18g01980	8164671.85667313	7159507.52866357	5255978.58320912	6923806.77690997	6124541.04056196	4067870.01088657	6023730.27327026	4599868.36329978	4273868.42331264	3227181.96832639	2781393.62538392	5659200.92715141	2139754.7825655	2014658.25578542	5992137.5776632	2292732.32549875	2449507.14690011	5257735.30328757
ostta03g03460	5571159.52830811	5409001.02734134	4553322.08839005	5518263.33499679	5862274.80612019	4137831.72931099	4861080.18895984	5064858.97242916	3940168.20152991	6565180.54578947	4698387.64881828	3940101.1047739	5688765.66337254	3946350.27101135	4503918.59942849	4755100.00029794	5083273.42595855	4547376.3646095
ostta02g02510	14499916.0967126	16841919.2972553	13738317.4608784	15681902.5073594	17487703.1805212	13504157.697231	17408094.8398838	18284758.9096588	15489883.4176614	20381585.3964208	15075689.8525912	15068067.337727	16515386.8874876	14450985.2772866	13815637.8358786	12148028.1275884	17716457.819683	13742287.6777259
ostta10g02360	1555764.54851675	1664617.28234349	1136339.37397368	1057691.50735846	882984.854552041	943247.894509631	1153387.29674507	1106013.86722138	1103103.62765291	1531691.54441015	1247561.76096285	1067634.3743637	1054548.89669926	683676.497290931	1134568.4259638	867520.46505547	896362.895267243	1134800.34647391
ostta01g02490	2789639.21291441	3559799.05580978	2022051.97358523	2765426.41952059	3209735.90091919	1873602.8620907	2375353.0561329	2505537.1573882	1774823.6563743	3267189.05158157	2614062.5754354	1783779.81954972	2962934.50153385	2194082.72941013	1771786.67649525	2303610.23123869	2689096.17626786	2018101.44800687
ostta20g00490	12258355.5198477	12493420.9345361	10741036.7761911	11859514.3001668	11149991.9846793	7576606.65081117	14761383.6331459	16315033.5547905	8986523.90109853	7421549.72455	13001266.2643061	12143360.6157361	18937969.9013146	12455160.7671951	12259766.2475029	14021857.3289604	17306751.0419412	10743961.1692737
ostta06g02940	1954181.619084	2822672.28337942	7139859.96453104	3619705.40519689	5413284.65263395	5340948.42529525	5146128.00451151	6249618.4999053	6754964.8252455	9492976.96604385	8121033.94549435	10423055.6475006	8721283.06007177	7227064.36359195	8205178.13446295	5602237.97522466	11954048.8666665	7142698.36671986
ostta20g00230	888185.756147314	949656.893659881	853747.889695342	817337.166433529	862876.123857976	634315.868828724	772544.886196742	664026.901505007	621565.18611932	1426750.83191946	1171585.32292041	842986.630567034	1303303.20248007	742780.091177897	796376.683679531	907538.449746115	1304902.20914034	852763.677944833
ostta04g01980	1707233.07247096	1941755.21961	1937353.18155718	1883633.13625117	1765171.55864091	1231140.53499519	1580505.00400201	1518953.37020385	998301.777399663	2288988.10811137	1950176.66510343	1738582.02943808	2209447.16473003	1359686.54359331	1816680.86304003	1780949.26627323	2586967.87198593	1933759.24654795
ostta10g03430	20636116.2849549	20131120.0141721	21447563.1743657	24229848.7489766	22983012.1317672	19429834.2850597	26095144.9510385	21443571.0474105	21561596.7024725	26398145.7085735	25279234.6824084	20764861.8330342	25019618.0828218	19806018.7292384	18135479.7504864	22808172.6352732	18383432.4254257	21451250.1819378
ostta17g00430	8240826.14914235	7239470.40147558	7042816.07222703	7354706.73364965	7549570.77886729	7160093.26223593	7113955.66270384	6849413.52796808	7522020.83136944	8487914.90047937	7279059.63099549	6077412.92949756	8078178.77224631	7079293.80929967	5977489.15004667	6882320.6516917	6716707.99731471	7045477.61299924
ostta12g00350	2770831.71026657	2369011.4451174	4268999.37606645	2775945.6985402	3544096.67710822	4408630.1802571	2301354.60530086	2352734.53763126	4079854.20472066	4795508.69749216	3094717.99507969	3487212.4454039	2501487.6289133	2651957.72838105	3869479.92254332	2400587.03553243	3584566.01204815	4248583.38457917
ostta13g00400	1791827.80702625	2765708.17212751	1732786.37707313	1560027.04250905	2341284.44901606	1741745.13683775	1704453.912425	2081483.04345141	1717809.96873614	2431470.1534103	1761952.91744673	1431760.68886553	1924069.79750023	1595493.95370184	2059571.88210229	1509881.29485982	2718252.0941911	1729691.27140448
ostta15g01830	3051818.73751718	4106174.25444068	3490255.08227633	2853689.1652178	3571270.18663386	3241325.24011664	2931334.72335397	3096722.72312365	3189269.65530003	4418081.70180736	4914113.61826489	2998070.71185346	3508209.58857721	3062327.46392948	2974222.89320576	2885716.30614174	3389071.29668115	3475925.3066015
ostta02g00610	36387362.88162	23113735.9096713	27076424.795555	28405649.8315546	16911530.4349082	25782508.3037499	28665456.019915	24518775.4780886	21548391.5821361	14448338.9660085	12900891.6223012	25604639.5640213	28866916.3629324	25425695.4926611	25314085.8881819	32224340.483332	23114311.2698738	27081247.4930657
ostta07g03070	7011660.37765493	6543510.58624785	5594101.2347725	5878846.40186329	5178560.91310627	4532940.52278774	6853658.62158682	7716594.61618968	5264357.61915978	4097280.16814479	4896490.1563896	6777315.7648717	7975565.29335822	6268583.33743859	6276334.14540976	6095463.73475321	5827344.06274619	5596067.37452146
ostta01g00720	4001110.38267036	6229948.21901158	5010013.77603882	4638184.88788539	7585668.49670715	7149896.63638764	4175756.83551762	5549976.45666477	7203700.84887893	4791280.46408534	5771700.37942156	4641804.26406076	4435884.37677373	7294591.5380557	4228935.16345557	4476428.32242661	7066540.51445553	5011209.09266664
